type,date,time,input_datasize_bytes,duration_s,throughput_bytes_s,throughput_per_node_bytes_s,cpu_used_percent,ram_used_bytes,disk_read_bytes_s,disk_write_bytes_s,network_receive_bytes_s,network_transmit_bytes_s,num_nodes,num_executors,executor_cores,executor_memory_mb,input_split_mb,buffer_kb,max_size_in_flight_mb,parallelism,date,time
ScalaSparkWordcount,2024-12-07,17:11:38,21866174894,387.237,56467163,56467163,51.92072927072927,1453023914.6666667,39027963.356820956,1170734.551137751,30169598.46789877,29719709.087329347,1,2,1,640m,256.0,,,,2024-12-07,17:11:38
ScalaSparkWordcount,2024-12-07,17:17:32,21866174894,340.269,64261436,64261436,51.2191650443435,1482298887.4202898,41033336.3858966,1300542.6405364482,31706182.683690242,31215083.41310837,1,2,1,640m,512.0,,,,2024-12-07,17:17:33
ScalaSparkWordcount,2024-12-07,17:23:32,21866174894,344.308,63507600,63507600,50.182522171749966,1478112953.5072465,38599775.939548634,1282134.76939938,29936628.81933809,29463992.965325546,1,2,1,640m,1024.0,,,,2024-12-07,17:23:33
ScalaSparkWordcount,2024-12-07,17:30:08,21866174894,372.382,58719741,58719741,49.6654954954955,1448749083.3066666,36017505.73203603,1162210.3070750749,28042099.040468466,27611611.746918917,1,2,1,640m,,,,4.0,2024-12-07,17:30:08
ScalaSparkWordcount,2024-12-07,17:36:57,21866174894,376.654,58053744,58053744,48.58712660028448,1462605985.6842105,34150732.54509246,1105266.1743006166,26606646.95060455,26188498.98277027,1,2,1,640m,,,,8.0,2024-12-07,17:36:58
ScalaSparkWordcount,2024-12-07,17:44:20,21866174894,402.652,54305392,54305392,51.572052469135805,1531785671.1111112,35376807.37975308,1110406.7213168726,27442920.852777783,27025494.740725312,1,2,1,640m,,,,10.0,2024-12-07,17:44:20
ScalaSparkWordcount,2024-12-07,17:51:12,21866174894,393.948,55505231,55505231,43.18055235903338,1505571178.936709,20571724.004602987,11988343.38249767,24496845.86623376,24496041.27578497,1,2,1,640m,,,,12.0,2024-12-07,17:51:12
ScalaSparkWordcount,2024-12-07,18:06:14,27332717951,467.608,58452203,58452203,44.725589110043494,1453908795.9148936,32504460.99229772,801711.6136963319,25016042.908464883,24718530.474216424,1,2,1,640m,128.0,,,,2024-12-07,18:06:15
ScalaSparkWordcount,2024-12-07,18:15:29,27332717951,459.872,59435490,59435490,34.45838693652724,1204136134.1935484,25323614.264613397,530991.6983208283,19352125.00137774,19168994.149337772,1,2,1,640m,256.0,,,,2024-12-07,18:15:30
ScalaSparkWordcount,2024-12-07,18:26:49,27332717951,443.711,61600271,61600271,41.55199182839634,1364607344.1797752,31867929.03343548,761749.032618318,24421345.411274258,24139245.35891216,1,2,1,640m,512.0,,,,2024-12-07,18:26:50
ScalaSparkWordcount,2024-12-07,18:36:06,27332717951,431.864,63290105,63290105,36.68747802569303,1177938131.862069,27482123.46547667,881613.3285012394,21221568.824340764,20888204.44497633,1,2,1,640m,1024.0,,,,2024-12-07,18:36:07
ScalaSparkWordcount,2024-12-07,19:06:03,27332717951,461.038,59285173,59285173,29.55447639083684,823777742.451613,21510365.459747545,47506.004176406415,16341711.154894177,16336527.799155513,1,2,1,640m,,,,4.0,2024-12-07,19:06:03
ScalaSparkWordcount,2024-12-07,20:34:06,27332717951,441.513,61906938,61906938,51.80260880795557,1214409647.460674,37806819.886176765,1149658.3466528908,29401441.847952988,29022194.825558566,1,2,1,640m,,,,8.0,2024-12-07,20:34:06
ScalaSparkWordcount,2024-12-07,20:42:35,27332717951,486.541,56177625,56177625,52.85243409863945,1183234131.5918367,38319316.868934244,944718.0190476191,29752952.685607992,29404489.92713648,1,2,1,640m,,,,10.0,2024-12-07,20:42:35
ScalaSparkWordcount,2024-12-07,20:50:10,27332717951,439.095,62247846,62247846,52.12471520184245,608447767.2727273,22725354.670465115,45071.005473828445,17336532.405392434,17331099.544688497,1,2,1,640m,,,,12.0,2024-12-07,20:50:10
ScalaSparkWordcount,2024-12-07,23:44:24,32799170339,559.088,58665487,58665487,47.12342508898261,1208179968.0,34667702.94839634,768303.0258701416,26681102.111543927,26418662.506741438,1,2,1,640m,128.0,,,,2024-12-07,23:44:25
ScalaSparkWordcount,2024-12-07,23:54:33,32799170339,520.528,63011346,63011346,33.87866134445685,772803242.6666666,25537831.951788004,922568.4311500966,19595375.851437483,19326999.073654797,1,2,1,640m,256.0,,,,2024-12-07,23:54:33
ScalaSparkWordcount,2024-12-08,00:12:41,32799170339,510.895,64199434,64199434,41.263741228491774,964238564.6601942,30248989.42494793,1056094.192316319,23390898.541315004,22986580.866711527,1,2,1,640m,1024.0,,,,2024-12-08,00:12:41
ScalaSparkWordcount,2024-12-08,01:28:23,32799311416,516.962,63446271,63446271,33.0821788648245,938857235.6923077,25255016.51580782,373539.3951705252,19180870.607356235,19050152.927688573,1,2,1,640m,512.0,,,,2024-12-08,01:28:24
ScalaSparkWordcount,2024-12-08,01:42:26,32799311416,526.77,62264957,62264957,50.265039912917274,1201174566.6415095,38118372.05921625,844288.5944847605,29444713.348929606,29142439.4896045,1,2,1,640m,,,,4.0,2024-12-08,01:42:26
ScalaSparkWordcount,2024-12-08,01:52:01,32799311416,523.677,62632713,62632713,40.02769230769232,903423473.3714286,28700323.114822958,1085211.4942124542,22718476.705924906,22306170.392738093,1,2,1,640m,,,,8.0,2024-12-08,01:52:01
ScalaSparkWordcount,2024-12-08,02:31:38,32799188433,581.258,56427934,56427934,54.541811367706266,1204333541.7435896,38456980.73098474,874718.6541095418,29656007.990978815,29360015.236609533,1,2,1,640m,,,,10.0,2024-12-08,02:31:38
ScalaSparkWordcount,2024-12-08,02:41:00,32799188433,547.824,59871762,59871762,40.17692651056055,654999440.290909,17047098.02064128,202899.27040525846,12877546.069067474,12875051.641295634,1,2,1,640m,,,,12.0,2024-12-08,02:41:00
ScalaSparkWordcount,2024-12-08,02:53:22,1093308403,51.966,21038917,10519458,30.910757575757575,1903345291.6363637,6371132.7159595955,3011242.942491583,6032727.180360686,5231877.273290124,2,4,1,640m,128.0,,,,2024-12-08,02:53:22
ScalaSparkWordcount,2024-12-08,02:56:01,1093308403,49.976,21876668,10938334,32.192929292929364,1850608919.2727273,6138698.645117845,5336602.548148148,7332073.91868687,5911040.453535355,2,4,1,640m,256.0,,,,2024-12-08,02:56:01
